long,lat,group,order,region,subregion
-85.95513153076172,32.074180603027344,6,344,alabama,bullock
-85.95513153076172,32.06844711303711,6,345,alabama,bullock
-85.97804260253906,32.06271743774414,6,346,alabama,bullock
-85.97804260253906,32.05698776245117,6,347,alabama,bullock
-85.98950958251953,32.05698776245117,6,348,alabama,bullock
-85.98950958251953,32.06271743774414,6,349,alabama,bullock
-85.9952392578125,32.05698776245117,6,350,alabama,bullock
-85.9952392578125,32.26325225830078,6,351,alabama,bullock
-85.98950958251953,32.26325225830078,6,352,alabama,bullock
-85.98950958251953,32.28044128417969,6,353,alabama,bullock
-85.91502380371094,32.28044128417969,6,354,alabama,bullock
-85.903564453125,32.291900634765625,6,355,alabama,bullock
-85.903564453125,32.30335998535156,6,356,alabama,bullock
-85.89210510253906,32.30335998535156,6,357,alabama,bullock
-85.87491607666016,32.297630310058594,6,358,alabama,bullock
-85.86345672607422,32.251792907714844,6,359,alabama,bullock
-85.85199737548828,32.240333557128906,6,360,alabama,bullock
-85.43946838378906,32.240333557128906,6,361,alabama,bullock
-85.43373107910156,32.14866256713867,6,362,alabama,bullock
-85.428009033203125,32.028343200683594,6,363,alabama,bullock
-85.4681167602539,32.01688003540039,6,364,alabama,bullock
-85.4681167602539,32.0340690612793,6,365,alabama,bullock
-85.47956848144531,32.0340690612793,6,366,alabama,bullock
-85.48530578613281,32.01688003540039,6,367,alabama,bullock
-85.513946533203125,32.01688003540039,6,368,alabama,bullock
-85.513946533203125,32.01115417480469,6,369,alabama,bullock
-85.57124328613281,32.01115417480469,6,370,alabama,bullock
-85.58271026611328,32.00542449951172,6,371,alabama,bullock
-85.59416198730469,31.993961334228516,6,372,alabama,bullock
-85.59989166259766,31.959585189819336,6,373,alabama,bullock
-85.61708068847656,31.94812774658203,6,374,alabama,bullock
-85.6457290649414,31.90229034423828,6,375,alabama,bullock
-85.66865539550781,31.879371643066406,6,376,alabama,bullock
-86.86040496826172,31.959585189819336,7,378,alabama,butler
-86.45360565185547,31.959585189819336,7,379,alabama,butler
-86.45360565185547,31.667375564575195,7,380,alabama,butler
-86.510894775390625,31.667375564575195,7,381,alabama,butler
-86.510894775390625,31.535598754882812,7,382,alabama,butler
-86.71143341064453,31.535598754882812,7,383,alabama,butler
-86.84894561767578,31.541324615478516,7,384,alabama,butler
-86.85467529296875,31.547056198120117,7,385,alabama,butler
-86.88331604003906,31.598623275756836,7,386,alabama,butler
-86.9005126953125,31.604351043701172,7,387,alabama,butler
-86.89478302001953,31.615812301635742,7,388,alabama,butler
-86.89478302001953,31.632999420166016,7,389,alabama,butler
-86.90624237060547,31.661649703979492,7,390,alabama,butler
-86.90624237060547,31.713212966918945,7,391,alabama,butler
-86.90624237060547,31.759050369262695,7,392,alabama,butler
-86.90624237060547,31.827804565429688,7,393,alabama,butler
-86.90624237060547,31.959585189819336,7,394,alabama,butler
-86.86040496826172,31.959585189819336,7,395,alabama,butler
-85.743133544921875,33.96493911743164,8,397,alabama,calhoun
-85.63999938964844,33.96493911743164,8,398,alabama,calhoun
-85.63427734375,33.9534797668457,8,399,alabama,calhoun
-85.53114318847656,33.9534797668457,8,400,alabama,calhoun
-85.53114318847656,33.94774627685547,8,401,alabama,calhoun
-85.52540588378906,33.896183013916016,8,402,alabama,calhoun
-85.605621337890625,33.896183013916016,8,403,alabama,calhoun
-85.605621337890625,33.88472366333008,8,404,alabama,calhoun
-85.63427734375,33.88472366333008,8,405,alabama,calhoun
-85.63427734375,33.856075286865234,8,406,alabama,calhoun
-85.59416198730469,33.856075286865234,8,407,alabama,calhoun
-85.59416198730469,33.810237884521484,8,408,alabama,calhoun
-85.605621337890625,33.810237884521484,8,409,alabama,calhoun
-85.6113510131836,33.79878234863281,8,410,alabama,calhoun
-85.62854766845703,33.793052673339844,8,411,alabama,calhoun
-85.62854766845703,33.781593322753906,8,412,alabama,calhoun
-85.63999938964844,33.781593322753906,8,413,alabama,calhoun
-85.63999938964844,33.655540466308594,8,414,alabama,calhoun
-85.65718841552734,33.655540466308594,8,415,alabama,calhoun
-85.65718841552734,33.649810791015625,8,416,alabama,calhoun
-85.66865539550781,33.63835525512695,8,417,alabama,calhoun
-85.697296142578125,33.63835525512695,8,418,alabama,calhoun
-85.7030258178711,33.62689208984375,8,419,alabama,calhoun
-85.7374038696289,33.62689208984375,8,420,alabama,calhoun
-85.7374038696289,33.609703063964844,8,421,alabama,calhoun
-85.75459289550781,33.603973388671875,8,422,alabama,calhoun
